CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
CASE00001,100300181202500001,202500001,2025-12-06,EMP0163,UNIT0181,CAT1,GRV2,CH02,CSH0007,STA2,,2025-12-06T19:31:00,2025-12-06T19:31:00,2025-12-06T19:31:00,16.770897,77.141642,A complaint was filed regarding harassment near a residential complex over the past few weeks.
CASE00002,100230140202500002,202500002,2025-11-23,EMP0229,UNIT0140,CAT1,GRV1,CH03,CSH0013,STA4,,2025-11-23T21:25:00,2025-11-23T21:25:00,2025-11-23T21:25:00,16.27805,77.386011,A complaint was filed regarding harassment near a residential complex over the past few weeks.
CASE00003,100110068202500003,202500003,2025-11-13,EMP0110,UNIT0068,CAT1,GRV2,CH05,CSH0021,STA1,,2025-11-13T12:30:00,2025-11-13T12:30:00,2025-11-13T12:30:00,12.866147,75.323321,A complaint was filed regarding harassment near a residential complex over the past few weeks.
CASE00004,100250151202600004,202600004,2026-01-22,EMP0034,UNIT0151,CAT1,GRV2,CH02,CSH0008,STA3,,2026-01-22T11:42:00,2026-01-22T11:42:00,2026-01-22T11:42:00,13.931662,75.578943,Vehicle registered to the complainant was found missing from outside the bus stand.
CASE00005,100110071202500005,202500005,2025-11-04,EMP0115,UNIT0071,CAT1,GRV2,CH02,CSH0006,STA2,,2025-11-04T15:59:00,2025-11-04T15:59:00,2025-11-04T15:59:00,12.801617,75.229282,Accused is alleged to have used a fake identity to defraud the complainant near the main market.
CASE00006,100040023202600006,202600006,2026-06-07,EMP0020,UNIT0023,CAT1,GRV2,CH05,CSH0021,STA4,,2026-06-07T17:34:00,2026-06-07T17:34:00,2026-06-07T17:34:00,13.294182,77.589444,Accused allegedly entered the local temple grounds and removed valuables without the owner's knowledge.
CASE00007,100080048202500007,202500007,2025-12-05,EMP0210,UNIT0048,CAT1,GRV2,CH05,CSH0024,STA3,,2025-12-05T22:59:00,2025-12-05T22:59:00,2025-12-05T22:59:00,13.357808,77.78571,"An altercation broke out at the railway station, resulting in injuries to the victim."
CASE00008,100130081202500008,202500008,2025-09-04,EMP0209,UNIT0081,CAT1,GRV2,CH04,CSH0018,STA3,,2025-09-04T17:56:00,2025-09-04T17:56:00,2025-09-04T17:56:00,15.485281,75.029516,"An altercation broke out at the bus stand, resulting in injuries to the victim."
CASE00009,100270166202600009,202600009,2026-01-23,EMP0161,UNIT0166,CAT1,GRV2,CH02,CSH0009,STA3,,2026-01-23T19:00:00,2026-01-23T19:00:00,2026-01-23T19:00:00,13.391276,74.78163,Accused allegedly entered the local temple grounds and removed valuables without the owner's knowledge.
CASE00010,100210132202600010,202600010,2026-05-16,EMP0233,UNIT0132,CAT1,GRV2,CH02,CSH0011,STA1,,2026-05-16T06:42:00,2026-05-16T06:42:00,2026-05-16T06:42:00,12.519495,76.94677,Victim was approached by unidentified persons near the railway station and robbed at knifepoint.
CASE00011,100110068202500011,202500011,2025-07-22,EMP0155,UNIT0068,CAT1,GRV2,CH06,CSH0025,STA2,,2025-07-22T12:21:00,2025-07-22T12:21:00,2025-07-22T12:21:00,12.867519,75.296462,Accused is alleged to have used a fake identity to defraud the complainant near a parking area.
CASE00012,100030016202600012,202600012,2026-04-17,EMP0102,UNIT0016,CAT1,GRV1,CH03,CSH0015,STA3,,2026-04-17T13:25:00,2026-04-17T13:25:00,2026-04-17T13:25:00,15.803595,74.534677,Accused is alleged to have used a fake identity to defraud the complainant near a parking area.
CASE00013,100030017202600013,202600013,2026-02-18,EMP0185,UNIT0017,CAT1,GRV1,CH03,CSH0016,STA2,,2026-02-18T09:47:00,2026-02-18T09:47:00,2026-02-18T09:47:00,15.909896,74.539171,Complainant alleges online fraud involving a transaction linked to a parking area.
CASE00014,100290175202600014,202600014,2026-06-28,EMP0084,UNIT0175,CAT1,GRV2,CH06,CSH0025,STA2,,2026-06-28T18:50:00,2026-06-28T18:50:00,2026-06-28T18:50:00,16.871274,75.691209,A group of persons allegedly created a public disturbance near the main market.
CASE00015,100210130202600015,202600015,2026-01-29,EMP0238,UNIT0130,CAT1,GRV2,CH02,CSH0007,STA1,,2026-01-29T17:09:00,2026-01-29T17:09:00,2026-01-29T17:09:00,12.582752,76.884795,Victim was approached by unidentified persons near a residential lane and robbed at knifepoint.
CASE00016,100110070202600016,202600016,2026-07-01,EMP0068,UNIT0070,CAT1,GRV1,CH03,CSH0015,STA2,,2026-07-01T20:29:00,2026-07-01T20:29:00,2026-07-01T20:29:00,12.822788,75.27361,Vehicle registered to the complainant was found missing from outside the railway station.
CASE00017,100170102202500017,202500017,2025-11-30,EMP0112,UNIT0102,CAT1,GRV2,CH02,CSH0009,STA2,,2025-11-30T20:47:00,2025-11-30T20:47:00,2025-11-30T20:47:00,17.287437,76.847688,"An altercation broke out at the main market, resulting in injuries to the victim."
CASE00018,100030018202500018,202500018,2025-09-27,EMP0120,UNIT0018,CAT1,GRV1,CH03,CSH0016,STA3,,2025-09-27T02:26:00,2025-09-27T02:26:00,2025-09-27T02:26:00,15.845948,74.511243,Physical assault reported outside the local temple grounds following a dispute between the parties.
CASE00019,100050031202600019,202600019,2026-02-22,EMP0069,UNIT0031,CAT1,GRV1,CH03,CSH0013,STA3,,2026-02-22T06:42:00,2026-02-22T06:42:00,2026-02-22T06:42:00,12.935106,77.589103,Complainant alleges online fraud involving a transaction linked to the bus stand.
CASE00020,100090058202600020,202600020,2026-06-20,EMP0153,UNIT0058,CAT1,GRV2,CH06,CSH0027,STA2,,2026-06-20T00:01:00,2026-06-20T00:01:00,2026-06-20T00:01:00,13.279384,75.735929,Physical assault reported outside a parking area following a dispute between the parties.
CASE00021,100030017202600021,202600021,2026-05-22,EMP0185,UNIT0017,CAT1,GRV2,CH02,CSH0009,STA1,,2026-05-22T10:56:00,2026-05-22T10:56:00,2026-05-22T10:56:00,15.914334,74.544935,Complainant reported that jewellery was stolen from a parking area on the night of the incident.
CASE00022,100130080202500022,202500022,2025-08-24,EMP0006,UNIT0080,CAT1,GRV1,CH01,CSH0002,STA1,,2025-08-24T16:43:00,2025-08-24T16:43:00,2025-08-24T16:43:00,15.414899,75.028949,Complainant alleges online fraud involving a transaction linked to the main market.
CASE00023,100050028202600023,202600023,2026-01-31,EMP0125,UNIT0028,CAT1,GRV2,CH02,CSH0008,STA2,,2026-01-31T20:46:00,2026-01-31T20:46:00,2026-01-31T20:46:00,12.960263,77.625988,Victim was approached by unidentified persons near the bus stand and robbed at knifepoint.
CASE00024,100220134202500024,202500024,2025-10-17,EMP0012,UNIT0134,CAT1,GRV2,CH02,CSH0008,STA2,,2025-10-17T15:17:00,2025-10-17T15:17:00,2025-10-17T15:17:00,12.326892,76.62645,Accused allegedly entered the local temple grounds and removed valuables without the owner's knowledge.
CASE00025,100030013202600025,202600025,2026-03-03,EMP0104,UNIT0013,CAT1,GRV1,CH03,CSH0012,STA3,,2026-03-03T22:42:00,2026-03-03T22:42:00,2026-03-03T22:42:00,15.791905,74.469534,Accused allegedly entered the local temple grounds and removed valuables without the owner's knowledge.
CASE00026,100110071202500026,202500026,2025-09-06,EMP0115,UNIT0071,CAT1,GRV1,CH03,CSH0016,STA3,,2025-09-06T11:14:00,2025-09-06T11:14:00,2025-09-06T11:14:00,12.799413,75.209246,Complainant reported that a laptop was stolen from the local temple grounds on the night of the incident.
CASE00027,100240143202500027,202500027,2025-10-20,EMP0131,UNIT0143,CAT1,GRV2,CH04,CSH0017,STA1,,2025-10-20T08:15:00,2025-10-20T08:15:00,2025-10-20T08:15:00,12.715856,77.273568,Accused is alleged to have used a fake identity to defraud the complainant near a parking area.
CASE00028,100050031202500028,202500028,2025-12-29,EMP0038,UNIT0031,CAT1,GRV2,CH05,CSH0022,STA1,,2025-12-29T18:02:00,2025-12-29T18:02:00,2025-12-29T18:02:00,12.951663,77.610936,Complainant alleges online fraud involving a transaction linked to a residential lane.
CASE00029,100050029202600029,202600029,2026-01-05,EMP0109,UNIT0029,CAT1,GRV2,CH02,CSH0010,STA4,,2026-01-05T22:00:00,2026-01-05T22:00:00,2026-01-05T22:00:00,12.977559,77.629038,Vehicle registered to the complainant was found missing from outside a parking area.
CASE00030,100050026202500030,202500030,2025-08-05,EMP0168,UNIT0026,CAT1,GRV2,CH04,CSH0018,STA2,,2025-08-05T13:18:00,2025-08-05T13:18:00,2025-08-05T13:18:00,12.949678,77.552255,Accused is alleged to have used a fake identity to defraud the complainant near a residential lane.
CASE00031,100220134202500031,202500031,2025-09-03,EMP0159,UNIT0134,CAT1,GRV2,CH05,CSH0024,STA4,,2025-09-03T16:53:00,2025-09-03T16:53:00,2025-09-03T16:53:00,12.318054,76.613598,A group of persons allegedly created a public disturbance near the bus stand.
CASE00032,100110071202600032,202600032,2026-04-10,EMP0115,UNIT0071,CAT1,GRV2,CH04,CSH0019,STA1,,2026-04-10T17:26:00,2026-04-10T17:26:00,2026-04-10T17:26:00,12.806833,75.205919,Victim was approached by unidentified persons near a commercial complex and robbed at knifepoint.
