UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
UNIT0001,Bagalkot Town Police Station,UT01,,IN,ST01,DIST0001,1
UNIT0002,Bagalkot Traffic Police Station,UT01,,IN,ST01,DIST0001,1
UNIT0003,Bagalkot Women Police Station,UT01,,IN,ST01,DIST0001,1
UNIT0004,Bagalkot Town Police Station,UT01,,IN,ST01,DIST0001,1
UNIT0005,Ballari Town Police Station,UT01,,IN,ST01,DIST0002,1
UNIT0006,Ballari Industrial Police Station,UT01,,IN,ST01,DIST0002,1
UNIT0007,Ballari Cyber Crime Police Station,UT01,,IN,ST01,DIST0002,1
UNIT0008,Ballari Traffic Police Station,UT01,,IN,ST01,DIST0002,1
UNIT0009,Ballari Traffic Police Station,UT01,,IN,ST01,DIST0002,1
UNIT0010,Ballari Rural Police Station,UT01,,IN,ST01,DIST0002,1
UNIT0011,Ballari North Police Station,UT01,,IN,ST01,DIST0002,1
UNIT0012,Ballari Industrial Police Station,UT01,,IN,ST01,DIST0002,1
UNIT0013,Camp Police Station,UT01,,IN,ST01,DIST0003,1
UNIT0014,Market Police Station,UT01,,IN,ST01,DIST0003,1
UNIT0015,Tilakwadi Police Station,UT01,,IN,ST01,DIST0003,1
UNIT0016,APMC Police Station,UT01,,IN,ST01,DIST0003,1
UNIT0017,Belagavi West Police Station,UT01,,IN,ST01,DIST0003,1
UNIT0018,Belagavi Rural Police Station,UT01,,IN,ST01,DIST0003,1
UNIT0019,Belagavi North Police Station,UT01,,IN,ST01,DIST0003,1
UNIT0020,Bengaluru Rural Industrial Police Station,UT01,,IN,ST01,DIST0004,1
UNIT0021,Bengaluru Rural Cyber Crime Police Station,UT01,,IN,ST01,DIST0004,1
UNIT0022,Bengaluru Rural East Police Station,UT01,,IN,ST01,DIST0004,1
UNIT0023,Bengaluru Rural Market Police Station,UT01,,IN,ST01,DIST0004,1
UNIT0024,Bengaluru Rural North Police Station,UT01,,IN,ST01,DIST0004,1
UNIT0025,Bengaluru Rural East Police Station,UT01,,IN,ST01,DIST0004,1
UNIT0026,Whitefield Police Station,UT01,,IN,ST01,DIST0005,1
UNIT0027,Indiranagar Police Station,UT01,,IN,ST01,DIST0005,1
UNIT0028,Cubbon Park Police Station,UT01,,IN,ST01,DIST0005,1
